30,22,24,,00:03:10.00,01:56:52.30,00:58:48.20,01:04:34.20
31,0,2,,00:03:23.70,01:59:58.30,00:59:36.00,01:01:39.20
31,2,4,,00:02:01.60,01:59:58.20,00:59:58.10,01:02:02.00
31,4,6,,00:02:04.50,01:59:54.80,00:59:58.10,01:02:01.40
31,6,8,,00:05:46.40,01:55:41.40,00:56:04.50,01:06:05.20
31,8,10,,00:06:13.50,01:56:39.40,00:55:29.60,01:05:14.20
31,10,12,,00:06:14.00,01:56:17.60,00:57:46.20,01:07:49.30
31,12,14,,00:06:12.40,01:56:02.10,00:56:31.80,01:06:40.50
31,14,16,,00:06:25.80,01:56:25.18,00:55:54.40,01:05:13.40
31,16,18,,00:06:06.40,01:56:10.50,00:57:02.00,01:06:20.80
31,18,20,,00:06:02.40,01:56:41.80,00:56:24.40,01:05:49.50
31,20,22,,00:02:52.70,01:59:07.50,00:58:05.70,01:02:49.40
31,22,24,,00:03:02.70,01:58:59.00,00:58:51.50,01:03:07.50
