25,0,2
25,2,4
25,4,6
25,6,8
25,8,10
25,10,12
25,12,14
25,14,16
25,16,18
25,18,20
25,20,22
25,22,24
26,0,2
26,2,4
26,4,6
26,6,8
26,8,10
26,10,12
26,12,14
26,14,16
26,16,18
26,18,20
26,20,22
26,22,24
27,0,2
27,2,4
27,4,6
27,6,8
27,8,10
27,10,12
27,12,14
27,14,16
27,16,18
27,18,20
27,20,22
27,22,24
28,0,2
28,2,4
28,4,6
28,6,8
28,8,10
28,10,12
28,12,14
28,14,16
28,16,18
28,18,20
28,20,22
28,22,24
29,0,2
29,2,4
29,4,6
29,6,8
29,8,10
29,10,12
29,12,14
29,14,16
29,16,18
29,18,20
29,20,22
29,22,24
30,0,2
30,2,4
30,4,6
30,6,8
30,8,10
30,10,12
30,12,14
30,14,16
30,16,18
30,18,20
30,20,22
30,22,24
31,0,2
31,2,4
31,4,6
31,6,8
31,8,10
31,10,12
31,12,14
31,14,16
31,16,18
31,18,20
31,20,22
31,22,24
